日期,地理位置,观看次数
2023-04,AE,0
2023-05,AE,0
2023-06,AE,0
2023-07,AE,0
2023-08,AE,0
2023-09,AE,0
2023-10,AE,0
2023-11,AE,0
2023-12,AE,0
2024-01,AE,0
2024-02,AE,0
2024-03,AE,0
2024-04,AE,0
2024-05,AE,0
2024-06,AE,0
2024-07,AE,0
2024-08,AE,0
2024-09,AE,0
2024-10,AE,0
2024-11,AE,0
2024-12,AE,0
2025-01,AE,0
2025-02,AE,0
2025-03,AE,0
2025-04,AE,0
2025-05,AE,0
2025-06,AE,0
2025-07,AE,0
2025-08,AE,0
2025-09,AE,0
2025-10,AE,0
2025-11,AE,0
2025-12,AE,0
2026-01,AE,0
2026-02,AE,0
2026-03,AE,0
2026-04,AE,0
2026-05,AE,0
2026-06,AE,0
2026-07,AE,0
2026-08,AE,0
2014-12,AM,0
2015-01,AM,0
2015-02,AM,0
2015-03,AM,0
2015-04,AM,0
2015-05,AM,0
2015-06,AM,0
2015-07,AM,0
2015-08,AM,0
2015-09,AM,0
2015-10,AM,0
2015-11,AM,0
2015-12,AM,0
2016-01,AM,0
2016-02,AM,0
2016-03,AM,11
2016-04,AM,0
2016-05,AM,0
2016-06,AM,0
2016-07,AM,0
2016-08,AM,0
2016-09,AM,0
2016-10,AM,0
2016-11,AM,0
2016-12,AM,0
2017-01,AM,0
2017-02,AM,0
2017-03,AM,0
2017-04,AM,0
2017-05,AM,0
2017-06,AM,0
2017-07,AM,0
2017-08,AM,0
2017-09,AM,0
2017-10,AM,0
2017-11,AM,0
2017-12,AM,0
2018-01,AM,0
2018-02,AM,0
2018-03,AM,0
2018-04,AM,0
2018-05,AM,0
2018-06,AM,0
2018-07,AM,0
2018-08,AM,0
2018-09,AM,0
2018-10,AM,0
2018-11,AM,0
2018-12,AM,0
2019-01,AM,0
2019-02,AM,0
2019-03,AM,13
2019-04,AM,0
2019-05,AM,12
2019-06,AM,0
2019-07,AM,0
2019-08,AM,0
2019-09,AM,0
2019-10,AM,0
2019-11,AM,0
2019-12,AM,0
2020-01,AM,0
2020-02,AM,0
2020-03,AM,0
2020-04,AM,0
2020-05,AM,0
2020-06,AM,0
2020-07,AM,0
2020-08,AM,0
2020-09,AM,0
2020-10,AM,0
2020-11,AM,0
2020-12,AM,0
2021-01,AM,0
2021-02,AM,0
2021-03,AM,0
2021-04,AM,0
2021-05,AM,0
2021-06,AM,0
2021-07,AM,0
2021-08,AM,0
2021-09,AM,0
2021-10,AM,0
2021-11,AM,0
2021-12,AM,0
2022-01,AM,0
2022-02,AM,0
2022-03,AM,0
2022-04,AM,0
2022-05,AM,0
2022-06,AM,0
2022-07,AM,0
2022-08,AM,0
2022-09,AM,0
2022-10,AM,0
2022-11,AM,0
2022-12,AM,0
2023-01,AM,0
2023-02,AM,0
2023-03,AM,0
2023-04,AM,0
2023-05,AM,0
2023-06,AM,0
2023-07,AM,0
2023-08,AM,0
2023-09,AM,0
2023-10,AM,0
2023-11,AM,0
2023-12,AM,0
2024-01,AM,0
2024-02,AM,0
2024-03,AM,0
2024-04,AM,0
2024-05,AM,0
2024-06,AM,0
2024-07,AM,0
2024-08,AM,0
2024-09,AM,0
2024-10,AM,0
2024-11,AM,0
2024-12,AM,0
2025-01,AM,0
2025-02,AM,0
2025-03,AM,0
2025-04,AM,0
2025-05,AM,0
2025-06,AM,0
2025-07,AM,0
2025-08,AM,0
2025-09,AM,0
2025-10,AM,0
2025-11,AM,0
2025-12,AM,0
2026-01,AM,0
2026-02,AM,0
2026-03,AM,0
2026-04,AM,0
2026-05,AM,0
2026-06,AM,0
2026-07,AM,0
2026-08,AM,0
2014-12,AR,0
2015-01,AR,0
2015-02,AR,0
2015-03,AR,21
2015-04,AR,183
2015-05,AR,54
2015-06,AR,59
2015-07,AR,26
2015-08,AR,131
2015-09,AR,21
2015-10,AR,46
2015-11,AR,14
2015-12,AR,46
2016-01,AR,43
2016-02,AR,56
2016-03,AR,122
2016-04,AR,111
2016-05,AR,64
2016-06,AR,184
2016-07,AR,241
2016-08,AR,165
2016-09,AR,46
2016-10,AR,159
2016-11,AR,25
2016-12,AR,57
2017-01,AR,22
2017-02,AR,133
2017-03,AR,179
2017-04,AR,397
2017-05,AR,351
2017-06,AR,189
2017-07,AR,139
2017-08,AR,30
2017-09,AR,10
2017-10,AR,10
2017-11,AR,0
2017-12,AR,48
2018-01,AR,13
2018-02,AR,23
2018-03,AR,127
2018-04,AR,0
2018-05,AR,51
2018-06,AR,12
2018-07,AR,10
2018-08,AR,10
2018-09,AR,23
2018-10,AR,0
2018-11,AR,0
2018-12,AR,0
2019-01,AR,11
2019-02,AR,11
2019-03,AR,0
2019-04,AR,13
2019-05,AR,0
2019-06,AR,0
2019-07,AR,0
2019-08,AR,0
2019-09,AR,12
2019-10,AR,0
2019-11,AR,37
2019-12,AR,0
2020-01,AR,13
2020-02,AR,0
2020-03,AR,0
2020-04,AR,0
2020-05,AR,0
2020-06,AR,0
2020-07,AR,0
2020-08,AR,13
2020-09,AR,0
2020-10,AR,0
2020-11,AR,0
2020-12,AR,0
2021-01,AR,0
2021-02,AR,0
2021-03,AR,0
2021-04,AR,0
2021-05,AR,0
2021-06,AR,0
2021-07,AR,14
2021-08,AR,0
2021-09,AR,18
2021-10,AR,0
2021-11,AR,0
2021-12,AR,11
2022-01,AR,0
2022-02,AR,0
2022-03,AR,0
2022-04,AR,0
2022-05,AR,0
2022-06,AR,0
2022-07,AR,0
2022-08,AR,0
2022-09,AR,0
2022-10,AR,0
2022-11,AR,0
2022-12,AR,0
2023-01,AR,0
2023-02,AR,0
2023-03,AR,27
2023-04,AR,0
2023-05,AR,0
2023-06,AR,0
2023-07,AR,0
2023-08,AR,0
2023-09,AR,0
2023-10,AR,0
2023-11,AR,0
2023-12,AR,0
2024-01,AR,0
2024-02,AR,0
2024-03,AR,0
2024-04,AR,0
2024-05,AR,0
2024-06,AR,0
2024-07,AR,0
2024-08,AR,0
2024-09,AR,0
2024-10,AR,0
2024-11,AR,0
2024-12,AR,0
2025-01,AR,13
2025-02,AR,0
2025-03,AR,0
2025-04,AR,0
2025-05,AR,0
2025-06,AR,0
2025-07,AR,0
2025-08,AR,22
2025-09,AR,0
2025-10,AR,0
2025-11,AR,0
2025-12,AR,0
2026-01,AR,0
2026-02,AR,0
2026-03,AR,0
2026-04,AR,0
2026-05,AR,0
2026-06,AR,0
2026-07,AR,0
2026-08,AR,23
2014-12,AT,0
2015-01,AT,0
2015-02,AT,0
2015-03,AT,0
2015-04,AT,14
2015-05,AT,0
2015-06,AT,26
2015-07,AT,12
2015-08,AT,0
2015-09,AT,10
2015-10,AT,0
2015-11,AT,0
2015-12,AT,0
2016-01,AT,0
2016-02,AT,0
2016-03,AT,0
2016-04,AT,0
2016-05,AT,0
2016-06,AT,0
2016-07,AT,0
2016-08,AT,0
2016-09,AT,39
2016-10,AT,0
2016-11,AT,11
2016-12,AT,0
2017-01,AT,0
2017-02,AT,0
2017-03,AT,0
2017-04,AT,0
2017-05,AT,0
2017-06,AT,0
2017-07,AT,0
2017-08,AT,0
2017-09,AT,0
2017-10,AT,0
2017-11,AT,0
2017-12,AT,0
2018-01,AT,0
2018-02,AT,15
2018-03,AT,0
2018-04,AT,0
2018-05,AT,0
2018-06,AT,0
2018-07,AT,0
2018-08,AT,0
2018-09,AT,0
2018-10,AT,0
2018-11,AT,0
2018-12,AT,0
2019-01,AT,0
2019-02,AT,0
2019-03,AT,0
2019-04,AT,0
2019-05,AT,0
2019-06,AT,0
2019-07,AT,0
2019-08,AT,0
2019-09,AT,0
2019-10,AT,0
2019-11,AT,0
2019-12,AT,0
2020-01,AT,0
2020-02,AT,0
2020-03,AT,0
2020-04,AT,0
2020-05,AT,0
2020-06,AT,0
2020-07,AT,0
2020-08,AT,0
2020-09,AT,0
2020-10,AT,0
2020-11,AT,0
2020-12,AT,0
2021-01,AT,0
2021-02,AT,0
2021-03,AT,0
2021-04,AT,0
2021-05,AT,0
2021-06,AT,0
2021-07,AT,0
2021-08,AT,0
2021-09,AT,0
2021-10,AT,0
2021-11,AT,0
2021-12,AT,0
2022-01,AT,0
2022-02,AT,0
2022-03,AT,0
2022-04,AT,0
2022-05,AT,0
2022-06,AT,0
2022-07,AT,0
2022-08,AT,0
2022-09,AT,0
2022-10,AT,0
2022-11,AT,0
2022-12,AT,0
2023-01,AT,0
2023-02,AT,0
2023-03,AT,0
2023-04,AT,0
2023-05,AT,0
2023-06,AT,0
2023-07,AT,0
2023-08,AT,0
2023-09,AT,0
2023-10,AT,0
2023-11,AT,0
2023-12,AT,0
2024-01,AT,0
2024-02,AT,0
2024-03,AT,0
2024-04,AT,0
2024-05,AT,0
2024-06,AT,0
2024-07,AT,0
2024-08,AT,0
2024-09,AT,0
2024-10,AT,0
2024-11,AT,0
2024-12,AT,0
2025-01,AT,0
2025-02,AT,0
2025-03,AT,0
2025-04,AT,0
2025-05,AT,0
2025-06,AT,0
2025-07,AT,0
2025-08,AT,0
2025-09,AT,0
2025-10,AT,0
2025-11,AT,0
2025-12,AT,0
2026-01,AT,0
2026-02,AT,0
2026-03,AT,0
2026-04,AT,0
2026-05,AT,0
2026-06,AT,0
2026-07,AT,0
2026-08,AT,0
2014-12,AU,0
2015-01,AU,0
2015-02,AU,0
2015-03,AU,21
2015-04,AU,90
2015-05,AU,48
2015-06,AU,117
2015-07,AU,100
2015-08,AU,28
2015-09,AU,63
2015-10,AU,14
2015-11,AU,34
2015-12,AU,0
2016-01,AU,109
2016-02,AU,172
2016-03,AU,72
2016-04,AU,63
2016-05,AU,34
2016-06,AU,95
2016-07,AU,157
2016-08,AU,132
2016-09,AU,119
2016-10,AU,79
2016-11,AU,102
2016-12,AU,36
2017-01,AU,25
2017-02,AU,24
2017-03,AU,0
2017-04,AU,49
2017-05,AU,10
2017-06,AU,12
2017-07,AU,43
2017-08,AU,24
2017-09,AU,37
2017-10,AU,39
2017-11,AU,51
2017-12,AU,0
2018-01,AU,11
2018-02,AU,51
2018-03,AU,15
2018-04,AU,20
2018-05,AU,0
2018-06,AU,14
2018-07,AU,10
2018-08,AU,0
2018-09,AU,0
2018-10,AU,12
2018-11,AU,23
2018-12,AU,24
2019-01,AU,89
2019-02,AU,23
2019-03,AU,0
2019-04,AU,0
2019-05,AU,0
2019-06,AU,0
2019-07,AU,0
2019-08,AU,0
2019-09,AU,0
2019-10,AU,0
2019-11,AU,0
2019-12,AU,0
2020-01,AU,0
2020-02,AU,0
2020-03,AU,0
2020-04,AU,0
2020-05,AU,0
2020-06,AU,0
2020-07,AU,0
2020-08,AU,0
2020-09,AU,0
2020-10,AU,0
2020-11,AU,0
2020-12,AU,0
2021-01,AU,0
2021-02,AU,0
2021-03,AU,0
2021-04,AU,0
2021-05,AU,0
2021-06,AU,0
2021-07,AU,0
2021-08,AU,0
2021-09,AU,0
2021-10,AU,0
2021-11,AU,0
2021-12,AU,0
2022-01,AU,0
2022-02,AU,0
2022-03,AU,12
2022-04,AU,0
2022-05,AU,0
2022-06,AU,0
2022-07,AU,0
2022-08,AU,0
2022-09,AU,0
2022-10,AU,0
2022-11,AU,15
2022-12,AU,0
2023-01,AU,0
2023-02,AU,0
2023-03,AU,0
2023-04,AU,0
2023-05,AU,0
2023-06,AU,0
2023-07,AU,0
2023-08,AU,0
2023-09,AU,0
2023-10,AU,0
2023-11,AU,0
2023-12,AU,0
2024-01,AU,0
2024-02,AU,0
2024-03,AU,0
2024-04,AU,0
2024-05,AU,0
2024-06,AU,0
2024-07,AU,0
2024-08,AU,0
2024-09,AU,0
2024-10,AU,0
2024-11,AU,0
2024-12,AU,0
2025-01,AU,0
2025-02,AU,0
2025-03,AU,0
2025-04,AU,0
2025-05,AU,0
2025-06,AU,0
2025-07,AU,0
2025-08,AU,0
2025-09,AU,0
2025-10,AU,0
2025-11,AU,0
2025-12,AU,0
2026-01,AU,0
2026-02,AU,0
2026-03,AU,0
2026-04,AU,0
2026-05,AU,0
2026-06,AU,0
2026-07,AU,0
2026-08,AU,0
2014-12,AW,0
2015-01,AW,0
2015-02,AW,0
2015-03,AW,0
2015-04,AW,0
2015-05,AW,0
2015-06,AW,0
2015-07,AW,0
2015-08,AW,0
2015-09,AW,0
2015-10,AW,0
2015-11,AW,0
2015-12,AW,0
2016-01,AW,0
2016-02,AW,0
2016-03,AW,0
2016-04,AW,0
2016-05,AW,34
2016-06,AW,0
2016-07,AW,0
2016-08,AW,0
2016-09,AW,0
2016-10,AW,0
2016-11,AW,0
2016-12,AW,0
2017-01,AW,0
2017-02,AW,0
2017-03,AW,0
2017-04,AW,0
2017-05,AW,0
2017-06,AW,0
2017-07,AW,0
2017-08,AW,0
2017-09,AW,0
2017-10,AW,0
2017-11,AW,0
2017-12,AW,0
2018-01,AW,0
2018-02,AW,0
2018-03,AW,0
2018-04,AW,0
2018-05,AW,0
2018-06,AW,0
2018-07,AW,0
2018-08,AW,0
2018-09,AW,0
2018-10,AW,0
2018-11,AW,0
2018-12,AW,0
2019-01,AW,0
2019-02,AW,0
2019-03,AW,0
2019-04,AW,0
2019-05,AW,0
2019-06,AW,0
2019-07,AW,0
2019-08,AW,0
2019-09,AW,0
2019-10,AW,0
2019-11,AW,0
2019-12,AW,0
2020-01,AW,0
2020-02,AW,0
2020-03,AW,0
2020-04,AW,0
2020-05,AW,0
2020-06,AW,0
2020-07,AW,0
2020-08,AW,0
2020-09,AW,0
2020-10,AW,0
2020-11,AW,0
2020-12,AW,0
2021-01,AW,0
2021-02,AW,0
2021-03,AW,0
2021-04,AW,0
2021-05,AW,0
2021-06,AW,0
2021-07,AW,0
2021-08,AW,0
2021-09,AW,0
2021-10,AW,0
2021-11,AW,0
2021-12,AW,0
2022-01,AW,0
2022-02,AW,0
2022-03,AW,0
2022-04,AW,0
2022-05,AW,0
2022-06,AW,0
2022-07,AW,0
2022-08,AW,0
2022-09,AW,0
2022-10,AW,0
2022-11,AW,0
2022-12,AW,0
2023-01,AW,0
2023-02,AW,0
2023-03,AW,0
2023-04,AW,0
2023-05,AW,0
2023-06,AW,0
2023-07,AW,0
2023-08,AW,0
2023-09,AW,0
2023-10,AW,0
2023-11,AW,0
2023-12,AW,0
2024-01,AW,0
2024-02,AW,0
2024-03,AW,0
2024-04,AW,0
2024-05,AW,0
2024-06,AW,0
2024-07,AW,0
2024-08,AW,0
2024-09,AW,0
2024-10,AW,0
2024-11,AW,0
2024-12,AW,0
2025-01,AW,0
2025-02,AW,0
2025-03,AW,0
2025-04,AW,0
2025-05,AW,0
2025-06,AW,0
2025-07,AW,0
2025-08,AW,0
2025-09,AW,0
2025-10,AW,0
2025-11,AW,0
2025-12,AW,0
2026-01,AW,0
2026-02,AW,0
2026-03,AW,0
2026-04,AW,0
2026-05,AW,0
2026-06,AW,0
2026-07,AW,0
2026-08,AW,0
2014-12,AZ,0
2015-01,AZ,0
2015-02,AZ,0
2015-03,AZ,0
2015-04,AZ,0
2015-05,AZ,0
2015-06,AZ,0
2015-07,AZ,38
2015-08,AZ,0
2015-09,AZ,0
2015-10,AZ,12
2015-11,AZ,0
2015-12,AZ,0
2016-01,AZ,0
2016-02,AZ,0
2016-03,AZ,0
2016-04,AZ,0
2016-05,AZ,0
2016-06,AZ,0
2016-07,AZ,0
2016-08,AZ,0
2016-09,AZ,0
2016-10,AZ,0
2016-11,AZ,0
2016-12,AZ,12
2017-01,AZ,0
2017-02,AZ,0
2017-03,AZ,0
2017-04,AZ,0
2017-05,AZ,0
2017-06,AZ,0
2017-07,AZ,0
2017-08,AZ,0
2017-09,AZ,0
2017-10,AZ,0
2017-11,AZ,0
2017-12,AZ,0
2018-01,AZ,0
2018-02,AZ,0
2018-03,AZ,0
2018-04,AZ,0
2018-05,AZ,0
2018-06,AZ,0
2018-07,AZ,0
2018-08,AZ,0
2018-09,AZ,0
2018-10,AZ,0
2018-11,AZ,0
2018-12,AZ,0
2019-01,AZ,0
2019-02,AZ,0
2019-03,AZ,0
2019-04,AZ,0
2019-05,AZ,0
2019-06,AZ,0
2019-07,AZ,0
2019-08,AZ,0
2019-09,AZ,0
2019-10,AZ,0
2019-11,AZ,0
2019-12,AZ,0
2020-01,AZ,0
2020-02,AZ,0
2020-03,AZ,0
2020-04,AZ,0
2020-05,AZ,0
2020-06,AZ,0
2020-07,AZ,0
2020-08,AZ,0
2020-09,AZ,0
2020-10,AZ,0
2020-11,AZ,0
2020-12,AZ,0
2021-01,AZ,0
2021-02,AZ,0
2021-03,AZ,0
2021-04,AZ,0
2021-05,AZ,0
2021-06,AZ,0
2021-07,AZ,0
2021-08,AZ,0
2021-09,AZ,0
2021-10,AZ,0
2021-11,AZ,0
2021-12,AZ,0
2022-01,AZ,0
2022-02,AZ,0
2022-03,AZ,0
2022-04,AZ,0
2022-05,AZ,0
2022-06,AZ,0
2022-07,AZ,0
2022-08,AZ,0
2022-09,AZ,0
2022-10,AZ,0
2022-11,AZ,0
2022-12,AZ,0
2023-01,AZ,0
2023-02,AZ,0
2023-03,AZ,0
2023-04,AZ,0
2023-05,AZ,0
2023-06,AZ,0
2023-07,AZ,0
2023-08,AZ,0
2023-09,AZ,0
2023-10,AZ,0
2023-11,AZ,0
2023-12,AZ,0
2024-01,AZ,0
2024-02,AZ,0
2024-03,AZ,0
2024-04,AZ,0
2024-05,AZ,0
2024-06,AZ,0
2024-07,AZ,0
2024-08,AZ,0
2024-09,AZ,0
2024-10,AZ,0
2024-11,AZ,0
2024-12,AZ,0
2025-01,AZ,0
2025-02,AZ,0
2025-03,AZ,0
2025-04,AZ,0
2025-05,AZ,0
2025-06,AZ,0
2025-07,AZ,0
2025-08,AZ,0
2025-09,AZ,0
2025-10,AZ,0
2025-11,AZ,0
2025-12,AZ,0
2026-01,AZ,0
2026-02,AZ,0
2026-03,AZ,0
2026-04,AZ,0
2026-05,AZ,0
2026-06,AZ,0
2026-07,AZ,0
2026-08,AZ,0
2014-12,BE,0
2015-01,BE,0
2015-02,BE,0
2015-03,BE,0
2015-04,BE,0
2015-05,BE,0
2015-06,BE,0
2015-07,BE,0
2015-08,BE,0
2015-09,BE,0
2015-10,BE,0
2015-11,BE,0
2015-12,BE,0
2016-01,BE,0
2016-02,BE,33
2016-03,BE,80
2016-04,BE,23
2016-05,BE,39
2016-06,BE,0
2016-07,BE,11
2016-08,BE,12
2016-09,BE,0
2016-10,BE,0
2016-11,BE,11
2016-12,BE,0
2017-01,BE,0
2017-02,BE,11
2017-03,BE,0
2017-04,BE,0
2017-05,BE,0
2017-06,BE,15
2017-07,BE,0
2017-08,BE,0
2017-09,BE,0
2017-10,BE,75
2017-11,BE,0
2017-12,BE,0
2018-01,BE,23
2018-02,BE,0
2018-03,BE,0
2018-04,BE,0
2018-05,BE,0
2018-06,BE,0
2018-07,BE,0
2018-08,BE,0
2018-09,BE,75
2018-10,BE,11
2018-11,BE,23
2018-12,BE,0
2019-01,BE,0
2019-02,BE,0
2019-03,BE,0
2019-04,BE,0
2019-05,BE,0
2019-06,BE,0
2019-07,BE,0
2019-08,BE,0
2019-09,BE,0
2019-10,BE,0
2019-11,BE,0
2019-12,BE,0
2020-01,BE,0
2020-02,BE,0
2020-03,BE,0
2020-04,BE,0
2020-05,BE,0
2020-06,BE,0
2020-07,BE,10
2020-08,BE,0
2020-09,BE,0
2020-10,BE,10
2020-11,BE,0
2020-12,BE,0
2021-01,BE,11
2021-02,BE,0
2021-03,BE,0
2021-04,BE,0
2021-05,BE,0
2021-06,BE,0
2021-07,BE,0
2021-08,BE,0
2021-09,BE,0
2021-10,BE,0
2021-11,BE,0
2021-12,BE,0
2022-01,BE,0
2022-02,BE,0
2022-03,BE,0
2022-04,BE,0
2022-05,BE,0
2022-06,BE,0
2022-07,BE,0
2022-08,BE,0
2022-09,BE,0
2022-10,BE,0
2022-11,BE,0
2022-12,BE,0
2023-01,BE,0
2023-02,BE,0
2023-03,BE,0
2023-04,BE,0
2023-05,BE,0
2023-06,BE,0
2023-07,BE,0
2023-08,BE,0
2023-09,BE,0
2023-10,BE,0
2023-11,BE,0
2023-12,BE,0
2024-01,BE,0
2024-02,BE,0
2024-03,BE,0
2024-04,BE,0
2024-05,BE,0
2024-06,BE,0
2024-07,BE,0
2024-08,BE,0
2024-09,BE,0
2024-10,BE,0
2024-11,BE,0
2024-12,BE,0
2025-01,BE,0
2025-02,BE,0
2025-03,BE,0
2025-04,BE,0
2025-05,BE,0
2025-06,BE,0
2025-07,BE,0
2025-08,BE,0
2025-09,BE,0
2025-10,BE,0
2025-11,BE,0
2025-12,BE,0
2026-01,BE,0
2026-02,BE,0
2026-03,BE,0
2026-04,BE,0
2026-05,BE,0
2026-06,BE,0
2026-07,BE,0
2026-08,BE,0
2014-12,BG,0
2015-01,BG,0
2015-02,BG,0
2015-03,BG,0
2015-04,BG,13
2015-05,BG,0
2015-06,BG,0
2015-07,BG,0
2015-08,BG,0
2015-09,BG,0
2015-10,BG,0
2015-11,BG,0
2015-12,BG,0
2016-01,BG,0
2016-02,BG,0
2016-03,BG,0
2016-04,BG,10
2016-05,BG,0
2016-06,BG,0
2016-07,BG,0
2016-08,BG,0
2016-09,BG,0
2016-10,BG,0
2016-11,BG,0
2016-12,BG,0
2017-01,BG,0
2017-02,BG,0
2017-03,BG,0
2017-04,BG,0
2017-05,BG,0
2017-06,BG,0
2017-07,BG,0
2017-08,BG,0
2017-09,BG,0
2017-10,BG,0
2017-11,BG,0
2017-12,BG,0
2018-01,BG,0
2018-02,BG,0
2018-03,BG,0
2018-04,BG,0
2018-05,BG,0
2018-06,BG,0
2018-07,BG,0
2018-08,BG,0
2018-09,BG,0
2018-10,BG,0
2018-11,BG,0
2018-12,BG,0
2019-01,BG,0
2019-02,BG,0
2019-03,BG,0
2019-04,BG,0
2019-05,BG,0
2019-06,BG,0
2019-07,BG,0
2019-08,BG,0
2019-09,BG,0
2019-10,BG,0
2019-11,BG,0
2019-12,BG,0
2020-01,BG,0
2020-02,BG,0
2020-03,BG,0
2020-04,BG,0
2020-05,BG,0
2020-06,BG,0
2020-07,BG,0
2020-08,BG,0
2020-09,BG,0
2020-10,BG,0
2020-11,BG,0
2020-12,BG,0
2021-01,BG,0
2021-02,BG,0
2021-03,BG,0
2021-04,BG,0
2021-05,BG,0
2021-06,BG,0
2021-07,BG,0
2021-08,BG,0
2021-09,BG,0
2021-10,BG,0
2021-11,BG,0
2021-12,BG,0
2022-01,BG,0
2022-02,BG,0
2022-03,BG,0
2022-04,BG,0
2022-05,BG,0
2022-06,BG,0
2022-07,BG,0
2022-08,BG,0
2022-09,BG,0
2022-10,BG,0
2022-11,BG,0
2022-12,BG,0
2023-01,BG,0
2023-02,BG,0
2023-03,BG,0
2023-04,BG,0
2023-05,BG,0
2023-06,BG,0
2023-07,BG,0
2023-08,BG,0
2023-09,BG,0
2023-10,BG,0
2023-11,BG,0
2023-12,BG,0
2024-01,BG,0
2024-02,BG,0
2024-03,BG,0
2024-04,BG,0
2024-05,BG,0
2024-06,BG,0
2024-07,BG,0
2024-08,BG,0
2024-09,BG,0
2024-10,BG,0
2024-11,BG,0
2024-12,BG,0
2025-01,BG,0
2025-02,BG,0
2025-03,BG,0
2025-04,BG,0
2025-05,BG,0
2025-06,BG,0
2025-07,BG,0
2025-08,BG,0
2025-09,BG,0
2025-10,BG,0
2025-11,BG,0
2025-12,BG,0
2026-01,BG,0
2026-02,BG,0
2026-03,BG,0
2026-04,BG,0
2026-05,BG,0
2026-06,BG,0
2026-07,BG,0
2026-08,BG,0
2014-12,BH,0
2015-01,BH,0
2015-02,BH,0
2015-03,BH,0
2015-04,BH,0
2015-05,BH,0
2015-06,BH,0
2015-07,BH,0
2015-08,BH,0
2015-09,BH,10
2015-10,BH,0
2015-11,BH,0
2015-12,BH,0
2016-01,BH,0
2016-02,BH,0
2016-03,BH,0
2016-04,BH,0
2016-05,BH,0
2016-06,BH,0
2016-07,BH,0
2016-08,BH,0
2016-09,BH,0
2016-10,BH,0
2016-11,BH,0
2016-12,BH,0
2017-01,BH,0
2017-02,BH,0
2017-03,BH,0
2017-04,BH,0
2017-05,BH,0
2017-06,BH,0
2017-07,BH,0
2017-08,BH,0
2017-09,BH,0
2017-10,BH,0
2017-11,BH,0
2017-12,BH,0
2018-01,BH,0
2018-02,BH,0
2018-03,BH,0
2018-04,BH,0
2018-05,BH,0
2018-06,BH,0
2018-07,BH,0
2018-08,BH,0
2018-09,BH,0
2018-10,BH,0
2018-11,BH,0
2018-12,BH,0
2019-01,BH,0
2019-02,BH,0
2019-03,BH,0
2019-04,BH,0
2019-05,BH,0
2019-06,BH,0
2019-07,BH,0
2019-08,BH,0
2019-09,BH,0
2019-10,BH,0
2019-11,BH,0
2019-12,BH,0
2020-01,BH,0
2020-02,BH,0
2020-03,BH,0
2020-04,BH,0
2020-05,BH,0
2020-06,BH,0
2020-07,BH,0
2020-08,BH,0
2020-09,BH,0
2020-10,BH,0
2020-11,BH,0
2020-12,BH,0
2021-01,BH,0
2021-02,BH,0
2021-03,BH,0
2021-04,BH,0
2021-05,BH,0
2021-06,BH,0
2021-07,BH,0
2021-08,BH,0
2021-09,BH,0
2021-10,BH,0
2021-11,BH,0
2021-12,BH,0
2022-01,BH,0
2022-02,BH,0
2022-03,BH,0
2022-04,BH,0
2022-05,BH,0
2022-06,BH,0
2022-07,BH,0
2022-08,BH,0
2022-09,BH,0
2022-10,BH,0
2022-11,BH,0
2022-12,BH,0
2023-01,BH,0
2023-02,BH,0
2023-03,BH,0
2023-04,BH,0
2023-05,BH,0
2023-06,BH,0
2023-07,BH,0
2023-08,BH,0
2023-09,BH,0
2023-10,BH,0
2023-11,BH,0
2023-12,BH,0
2024-01,BH,0
2024-02,BH,0
2024-03,BH,0
2024-04,BH,0
2024-05,BH,0
